,realtime_start,date,value
0,2001-06-15,1992-01-01,120921.0
1,2002-02-20,1992-01-01,121008.0
2,2002-05-03,1992-01-01,120994.0
3,2003-04-30,1992-01-01,121537.0
4,2005-03-31,1992-01-01,118136.0
5,2006-03-30,1992-01-01,118784.0
6,2012-04-30,1992-01-01,118643.0
7,2018-06-12,1992-01-01,118651.0
8,2001-06-15,1992-02-01,121027.0
9,2002-02-20,1992-02-01,121115.0
10,2002-05-03,1992-02-01,121155.0
11,2003-04-30,1992-02-01,121654.0
12,2005-03-31,1992-02-01,118321.0
13,2006-03-30,1992-02-01,118949.0
14,2012-04-30,1992-02-01,118514.0
15,2018-06-12,1992-02-01,118480.0
16,2001-06-15,1992-03-01,120040.0
17,2002-02-20,1992-03-01,120126.0
18,2002-05-03,1992-03-01,120127.0
19,2003-04-30,1992-03-01,120607.0
20,2005-03-31,1992-03-01,117377.0
21,2006-03-30,1992-03-01,118060.0
22,2012-04-30,1992-03-01,117719.0
23,2018-06-12,1992-03-01,117700.0
24,2001-06-15,1992-04-01,120403.0
25,2002-02-20,1992-04-01,120489.0
26,2002-05-03,1992-04-01,120511.0
27,2003-04-30,1992-04-01,120936.0
28,2005-03-31,1992-04-01,117789.0
29,2006-03-30,1992-04-01,118425.0
30,2012-04-30,1992-04-01,118192.0
31,2018-06-12,1992-04-01,118156.0
32,2001-06-15,1992-05-01,120690.0
33,2002-02-20,1992-05-01,120777.0
34,2002-05-03,1992-05-01,120850.0
35,2003-04-30,1992-05-01,121329.0
36,2005-03-31,1992-05-01,118088.0
37,2006-03-30,1992-05-01,118769.0
38,2012-04-30,1992-05-01,118547.0
39,2013-05-31,1992-05-01,118552.0
40,2018-06-12,1992-05-01,118548.0
41,2001-06-15,1992-06-01,120894.0
42,2002-02-20,1992-06-01,120981.0
43,2002-05-03,1992-06-01,121000.0
44,2003-04-30,1992-06-01,121460.0
45,2005-03-31,1992-06-01,118202.0
46,2006-03-30,1992-06-01,118875.0
47,2012-04-30,1992-06-01,118550.0
48,2013-05-31,1992-06-01,118557.0
49,2018-06-12,1992-06-01,118542.0
50,2001-06-15,1992-07-01,121001.0
51,2002-02-20,1992-07-01,121088.0
52,2002-05-03,1992-07-01,121163.0
53,2003-04-30,1992-07-01,121623.0
54,2005-03-31,1992-07-01,118406.0
55,2006-03-30,1992-07-01,119063.0
56,2012-04-30,1992-07-01,119083.0
57,2013-05-31,1992-07-01,119078.0
58,2018-06-12,1992-07-01,119044.0
59,2001-06-15,1992-08-01,121441.0
60,2002-02-20,1992-08-01,121527.0
61,2002-05-03,1992-08-01,121464.0
62,2003-04-30,1992-08-01,121945.0
63,2005-03-31,1992-08-01,118792.0
64,2006-03-30,1992-08-01,119449.0
65,2012-04-30,1992-08-01,119173.0
66,2013-05-31,1992-08-01,119174.0
67,2018-06-12,1992-08-01,119176.0
68,2001-06-15,1992-09-01,122643.0
69,2002-02-20,1992-09-01,122730.0
70,2002-05-03,1992-09-01,122707.0
71,2003-04-30,1992-09-01,123179.0
72,2005-03-31,1992-09-01,119929.0
73,2006-03-30,1992-09-01,120594.0
74,2012-04-30,1992-09-01,120062.0
75,2018-06-12,1992-09-01,120057.0
76,2001-06-15,1992-10-01,122680.0
77,2002-02-20,1992-10-01,122766.0
78,2002-05-03,1992-10-01,122716.0
79,2003-04-30,1992-10-01,123155.0
80,2005-03-31,1992-10-01,119942.0
81,2006-03-30,1992-10-01,120578.0
82,2012-04-30,1992-10-01,120452.0
83,2018-06-12,1992-10-01,120413.0
84,2001-06-15,1992-11-01,122726.0
85,2002-02-20,1992-11-01,122813.0
86,2002-05-03,1992-11-01,122791.0
87,2003-04-30,1992-11-01,123232.0
88,2005-03-31,1992-11-01,120034.0
89,2006-03-30,1992-11-01,120711.0
90,2012-04-30,1992-11-01,120355.0
91,2018-06-12,1992-11-01,120340.0
92,2001-06-15,1992-12-01,123827.0
93,2002-02-20,1992-12-01,123914.0
94,2002-05-03,1992-12-01,123966.0
95,2003-04-30,1992-12-01,124405.0
96,2005-03-31,1992-12-01,121337.0
97,2006-03-30,1992-12-01,121994.0
98,2012-04-30,1992-12-01,121571.0
99,2018-06-12,1992-12-01,121648.0
100,2001-06-15,1993-01-01,125249.0
101,2002-05-03,1993-01-01,125223.0
102,2003-04-30,1993-01-01,125667.0
103,2005-03-31,1993-01-01,122321.0
104,2006-03-30,1993-01-01,123027.0
105,2012-04-30,1993-01-01,122598.0
106,2013-05-31,1993-01-01,122604.0
107,2018-06-12,1993-01-01,122625.0
108,2001-06-15,1993-02-01,123777.0
109,2002-02-20,1993-02-01,123864.0
110,2002-05-03,1993-02-01,123895.0
111,2003-04-30,1993-02-01,124346.0
112,2005-03-31,1993-02-01,121001.0
113,2006-03-30,1993-02-01,121678.0
114,2012-04-30,1993-02-01,121433.0
115,2018-06-12,1993-02-01,121414.0
116,2001-06-15,1993-03-01,122611.0
117,2002-02-20,1993-03-01,122696.0
118,2002-05-03,1993-03-01,122654.0
119,2003-04-30,1993-03-01,123094.0
120,2005-03-31,1993-03-01,119946.0
121,2006-03-30,1993-03-01,120606.0
122,2012-04-30,1993-03-01,120257.0
123,2018-06-12,1993-03-01,120241.0
124,2001-06-15,1993-04-01,124853.0
125,2002-02-20,1993-04-01,124940.0
126,2002-05-03,1993-04-01,124951.0
127,2003-04-30,1993-04-01,125395.0
128,2005-03-31,1993-04-01,122207.0
129,2006-03-30,1993-04-01,122886.0
130,2012-04-30,1993-04-01,122919.0
131,2013-05-31,1993-04-01,122925.0
132,2018-06-12,1993-04-01,122913.0
133,2001-06-15,1993-05-01,125912.0
134,2002-02-20,1993-05-01,125999.0
135,2002-05-03,1993-05-01,126023.0
136,2003-04-30,1993-05-01,126630.0
137,2005-03-31,1993-05-01,123440.0
138,2006-03-30,1993-05-01,124132.0
139,2012-04-30,1993-05-01,123748.0
140,2018-06-12,1993-05-01,123735.0
141,2001-06-15,1993-06-01,125860.0
142,2002-02-20,1993-06-01,125947.0
143,2002-05-03,1993-06-01,125983.0
144,2003-04-30,1993-06-01,126442.0
145,2005-03-31,1993-06-01,123182.0
146,2006-03-30,1993-06-01,123889.0
147,2012-04-30,1993-06-01,123493.0
148,2018-06-12,1993-06-01,123463.0
149,2001-06-15,1993-07-01,127107.0
150,2002-02-20,1993-07-01,127194.0
151,2002-05-03,1993-07-01,127251.0
152,2003-04-30,1993-07-01,127738.0
153,2005-03-31,1993-07-01,124565.0
154,2006-03-30,1993-07-01,125251.0
155,2012-04-30,1993-07-01,125092.0
156,2013-05-31,1993-07-01,125093.0
157,2018-06-12,1993-07-01,125082.0
158,2001-06-15,1993-08-01,126981.0
159,2002-02-20,1993-08-01,127068.0
160,2002-05-03,1993-08-01,127074.0
161,2003-04-30,1993-08-01,127530.0
162,2005-03-31,1993-08-01,124269.0
163,2006-03-30,1993-08-01,124997.0
164,2012-04-30,1993-08-01,124787.0
165,2018-06-12,1993-08-01,124798.0
166,2001-06-15,1993-09-01,127597.0
167,2002-02-20,1993-09-01,127685.0
168,2002-05-03,1993-09-01,127636.0
169,2003-04-30,1993-09-01,128211.0
170,2005-03-31,1993-09-01,124976.0
171,2006-03-30,1993-09-01,125674.0
172,2012-04-30,1993-09-01,125384.0
173,2013-05-31,1993-09-01,125379.0
174,2018-06-12,1993-09-01,125361.0
175,2001-06-15,1993-10-01,127809.0
176,2002-02-20,1993-10-01,127897.0
177,2002-05-03,1993-10-01,127891.0
178,2003-04-30,1993-10-01,128359.0
179,2005-03-31,1993-10-01,125112.0
180,2006-03-30,1993-10-01,125847.0
181,2012-04-30,1993-10-01,125620.0
182,2013-05-31,1993-10-01,125625.0
183,2018-06-12,1993-10-01,125607.0
184,2001-06-15,1993-11-01,129004.0
185,2002-05-03,1993-11-01,129019.0
186,2003-04-30,1993-11-01,129491.0
187,2005-03-31,1993-11-01,126168.0
188,2006-03-30,1993-11-01,126895.0
189,2012-04-30,1993-11-01,126533.0
190,2013-05-31,1993-11-01,126538.0
191,2018-06-12,1993-11-01,126539.0
192,2001-06-15,1993-12-01,129377.0
193,2002-02-20,1993-12-01,129465.0
194,2002-05-03,1993-12-01,129505.0
195,2003-04-30,1993-12-01,129960.0
196,2005-03-31,1993-12-01,126790.0
197,2006-03-30,1993-12-01,127504.0
198,2012-04-30,1993-12-01,127368.0
199,2018-06-12,1993-12-01,127409.0
200,2001-06-15,1994-01-01,129294.0
201,2002-02-20,1994-01-01,129383.0
202,2002-05-03,1994-01-01,129297.0
203,2003-04-30,1994-01-01,129742.0
204,2005-03-31,1994-01-01,126366.0
205,2006-03-30,1994-01-01,127100.0
206,2012-04-30,1994-01-01,126540.0
207,2018-06-12,1994-01-01,126550.0
208,2001-06-15,1994-02-01,130569.0
209,2002-02-20,1994-02-01,130658.0
210,2002-05-03,1994-02-01,130685.0
211,2003-04-30,1994-02-01,131147.0
212,2005-03-31,1994-02-01,127799.0
213,2006-03-30,1994-02-01,128536.0
214,2012-04-30,1994-02-01,128205.0
215,2018-06-12,1994-02-01,128203.0
216,2001-06-15,1994-03-01,132195.0
217,2002-02-20,1994-03-01,132285.0
218,2002-05-03,1994-03-01,132328.0
219,2003-04-30,1994-03-01,132833.0
220,2005-03-31,1994-03-01,129596.0
221,2006-03-30,1994-03-01,130358.0
222,2012-04-30,1994-03-01,130243.0
223,2018-06-12,1994-03-01,130237.0
224,2001-06-15,1994-04-01,132803.0
225,2002-02-20,1994-04-01,132893.0
226,2002-05-03,1994-04-01,132815.0
227,2003-04-30,1994-04-01,133300.0
228,2005-03-31,1994-04-01,129857.0
229,2006-03-30,1994-04-01,130622.0
230,2012-04-30,1994-04-01,130179.0
231,2013-05-31,1994-04-01,130185.0
232,2018-06-12,1994-04-01,130190.0
233,2001-06-15,1994-05-01,131609.0
234,2002-02-20,1994-05-01,131698.0
235,2002-05-03,1994-05-01,131758.0
236,2003-04-30,1994-05-01,132283.0
237,2005-03-31,1994-05-01,128904.0
238,2006-03-30,1994-05-01,129695.0
239,2012-04-30,1994-05-01,129451.0
240,2018-06-12,1994-05-01,129443.0
241,2001-06-15,1994-06-01,132859.0
242,2002-02-20,1994-06-01,132949.0
243,2002-05-03,1994-06-01,132953.0
244,2003-04-30,1994-06-01,133492.0
245,2005-03-31,1994-06-01,130145.0
246,2006-03-30,1994-06-01,130903.0
247,2012-04-30,1994-06-01,130631.0
248,2013-05-31,1994-06-01,130626.0
249,2018-06-12,1994-06-01,130581.0
250,2001-06-15,1994-07-01,132746.0
251,2002-02-20,1994-07-01,132836.0
252,2002-05-03,1994-07-01,132909.0
253,2003-04-30,1994-07-01,133445.0
254,2005-03-31,1994-07-01,130077.0
255,2006-03-30,1994-07-01,130882.0
256,2012-04-30,1994-07-01,130562.0
257,2013-05-31,1994-07-01,130568.0
258,2018-06-12,1994-07-01,130555.0
259,2001-06-15,1994-08-01,134022.0
260,2002-02-20,1994-08-01,134112.0
261,2002-05-03,1994-08-01,134095.0
262,2003-04-30,1994-08-01,134609.0
263,2005-03-31,1994-08-01,131157.0
264,2006-03-30,1994-08-01,131925.0
265,2012-04-30,1994-08-01,131649.0
266,2018-06-12,1994-08-01,131653.0
267,2001-06-15,1994-09-01,134540.0
268,2002-02-20,1994-09-01,134630.0
269,2002-05-03,1994-09-01,134605.0
270,2003-04-30,1994-09-01,135137.0
271,2005-03-31,1994-09-01,131752.0
272,2006-03-30,1994-09-01,132536.0
273,2012-04-30,1994-09-01,132447.0
274,2013-05-31,1994-09-01,132454.0
275,2018-06-12,1994-09-01,132461.0
276,2001-06-15,1994-10-01,136007.0
277,2002-02-20,1994-10-01,136098.0
278,2002-05-03,1994-10-01,136064.0
279,2003-04-30,1994-10-01,136623.0
280,2005-03-31,1994-10-01,133271.0
281,2006-03-30,1994-10-01,134057.0
282,2012-04-30,1994-10-01,133587.0
283,2018-06-12,1994-10-01,133582.0
284,2001-06-15,1994-11-01,135693.0
285,2002-02-20,1994-11-01,135784.0
286,2002-05-03,1994-11-01,135832.0
287,2003-04-30,1994-11-01,136357.0
288,2005-03-31,1994-11-01,132907.0
289,2006-03-30,1994-11-01,133712.0
290,2012-04-30,1994-11-01,133326.0
291,2018-06-12,1994-11-01,133332.0
292,2001-06-15,1994-12-01,135829.0
293,2002-02-20,1994-12-01,135919.0
294,2002-05-03,1994-12-01,135941.0
295,2003-04-30,1994-12-01,136483.0
296,2005-03-31,1994-12-01,133213.0
297,2006-03-30,1994-12-01,134003.0
298,2012-04-30,1994-12-01,133690.0
299,2013-05-31,1994-12-01,133691.0
300,2018-06-12,1994-12-01,133712.0
301,2001-06-15,1995-01-01,136432.0
302,2002-02-20,1995-01-01,136522.0
303,2002-05-03,1995-01-01,136538.0
304,2003-04-30,1995-01-01,136672.0
305,2004-03-30,1995-01-01,136691.0
306,2004-04-02,1995-01-01,136716.0
307,2005-03-31,1995-01-01,133506.0
308,2006-03-30,1995-01-01,134352.0
309,2011-04-29,1995-01-01,134338.0
310,2012-04-30,1995-01-01,133942.0
311,2018-06-12,1995-01-01,133936.0
312,2001-06-15,1995-02-01,133725.0
313,2002-02-20,1995-02-01,133814.0
314,2002-05-03,1995-02-01,133737.0
315,2003-04-30,1995-02-01,134469.0
316,2004-03-30,1995-02-01,134386.0
317,2004-04-02,1995-02-01,134358.0
318,2005-03-31,1995-02-01,131009.0
319,2006-03-30,1995-02-01,131779.0
320,2011-04-29,1995-02-01,131765.0
321,2012-04-30,1995-02-01,131461.0
322,2013-05-31,1995-02-01,131467.0
323,2018-06-12,1995-02-01,131477.0
324,2001-06-15,1995-03-01,134536.0
325,2002-02-20,1995-03-01,134625.0
326,2002-05-03,1995-03-01,134353.0
327,2003-04-30,1995-03-01,135224.0
328,2004-03-30,1995-03-01,135187.0
329,2004-04-02,1995-03-01,135206.0
330,2005-03-31,1995-03-01,131858.0
331,2006-03-30,1995-03-01,132626.0
332,2011-04-29,1995-03-01,132638.0
333,2012-04-30,1995-03-01,132427.0
334,2018-06-12,1995-03-01,132438.0
335,2001-06-15,1995-04-01,134668.0
336,2002-02-20,1995-04-01,134756.0
337,2002-05-03,1995-04-01,134784.0
338,2003-04-30,1995-04-01,135414.0
339,2004-03-30,1995-04-01,135374.0
340,2004-04-02,1995-04-01,135366.0
341,2005-03-31,1995-04-01,131965.0
342,2006-03-30,1995-04-01,132879.0
343,2011-04-29,1995-04-01,132867.0
344,2012-04-30,1995-04-01,132448.0
345,2013-05-31,1995-04-01,132443.0
346,2018-06-12,1995-04-01,132432.0
347,2001-06-15,1995-05-01,135604.0
348,2002-02-20,1995-05-01,135693.0
349,2002-05-03,1995-05-01,135694.0
350,2003-04-30,1995-05-01,136298.0
351,2004-03-30,1995-05-01,136220.0
352,2004-04-02,1995-05-01,136252.0
353,2005-03-31,1995-05-01,132948.0
