,realtime_start,date,value
0,1998-07-31,1952-11-01,86.2
1,2003-12-23,1952-11-01,
2,2018-07-27,1952-11-01,86.2
3,2018-07-27,1952-12-01,
4,2018-07-27,1953-01-01,
5,1998-07-31,1953-02-01,90.7
6,2003-12-23,1953-02-01,
7,2018-07-27,1953-02-01,90.7
8,2018-07-27,1953-03-01,
9,2018-07-27,1953-04-01,
10,2018-07-27,1953-05-01,
11,2018-07-27,1953-06-01,
12,2018-07-27,1953-07-01,
13,1998-07-31,1953-08-01,80.8
14,2003-12-23,1953-08-01,
15,2018-07-27,1953-08-01,80.8
16,2018-07-27,1953-09-01,
17,2018-07-27,1953-10-01,
18,1998-07-31,1953-11-01,80.7
19,2003-12-23,1953-11-01,
20,2018-07-27,1953-11-01,80.7
21,2018-07-27,1953-12-01,
22,2018-07-27,1954-01-01,
23,1998-07-31,1954-02-01,82.0
24,2003-12-23,1954-02-01,
25,2018-07-27,1954-02-01,82.0
26,2018-07-27,1954-03-01,
27,2018-07-27,1954-04-01,
28,1998-07-31,1954-05-01,82.9
29,2003-12-23,1954-05-01,
30,2018-07-27,1954-05-01,82.9
31,2018-07-27,1954-06-01,
32,2018-07-27,1954-07-01,
33,2018-07-27,1954-08-01,
34,2018-07-27,1954-09-01,
35,2018-07-27,1954-10-01,
36,1998-07-31,1954-11-01,87.0
37,2003-12-23,1954-11-01,
38,2018-07-27,1954-11-01,87.0
39,2018-07-27,1954-12-01,
40,2018-07-27,1955-01-01,
41,1998-07-31,1955-02-01,95.9
42,2003-12-23,1955-02-01,
43,2018-07-27,1955-02-01,95.9
44,2018-07-27,1955-03-01,
45,2018-07-27,1955-04-01,
46,1998-07-31,1955-05-01,99.1
47,2003-12-23,1955-05-01,
48,2018-07-27,1955-05-01,99.1
49,2018-07-27,1955-06-01,
50,2018-07-27,1955-07-01,
51,2018-07-27,1955-08-01,
52,2018-07-27,1955-09-01,
53,2018-07-27,1955-10-01,
54,1998-07-31,1955-11-01,99.7
55,2003-12-23,1955-11-01,
56,2018-07-27,1955-11-01,99.7
57,2018-07-27,1955-12-01,
58,2018-07-27,1956-01-01,
59,2018-07-27,1956-02-01,
60,2018-07-27,1956-03-01,
61,2018-07-27,1956-04-01,
62,1998-07-31,1956-05-01,98.2
63,2003-12-23,1956-05-01,
64,2018-07-27,1956-05-01,98.2
65,2018-07-27,1956-06-01,
66,2018-07-27,1956-07-01,
67,1998-07-31,1956-08-01,99.9
68,2003-12-23,1956-08-01,
69,2018-07-27,1956-08-01,99.9
70,2018-07-27,1956-09-01,
71,2018-07-27,1956-10-01,
72,1998-07-31,1956-11-01,100.2
73,2003-12-23,1956-11-01,
74,2018-07-27,1956-11-01,100.2
75,2018-07-27,1956-12-01,
76,2018-07-27,1957-01-01,
77,2018-07-27,1957-02-01,
78,2018-07-27,1957-03-01,
79,2018-07-27,1957-04-01,
80,1998-07-31,1957-05-01,92.9
81,2003-12-23,1957-05-01,
82,2018-07-27,1957-05-01,92.9
83,2018-07-27,1957-06-01,
84,2018-07-27,1957-07-01,
85,2018-07-27,1957-08-01,
86,2018-07-27,1957-09-01,
87,2018-07-27,1957-10-01,
88,1998-07-31,1957-11-01,83.7
89,2003-12-23,1957-11-01,
90,2018-07-27,1957-11-01,83.7
91,2018-07-27,1957-12-01,
92,2018-07-27,1958-01-01,
93,1998-07-31,1958-02-01,78.5
94,2003-12-23,1958-02-01,
95,2018-07-27,1958-02-01,78.5
96,2018-07-27,1958-03-01,
97,2018-07-27,1958-04-01,
98,1998-07-31,1958-05-01,80.9
99,2003-12-23,1958-05-01,
100,2018-07-27,1958-05-01,80.9
101,2018-07-27,1958-06-01,
102,2018-07-27,1958-07-01,
103,2018-07-27,1958-08-01,
104,2018-07-27,1958-09-01,
105,2018-07-27,1958-10-01,
106,1998-07-31,1958-11-01,90.8
107,2003-12-23,1958-11-01,
108,2018-07-27,1958-11-01,90.8
109,2018-07-27,1958-12-01,
110,2018-07-27,1959-01-01,
111,2018-07-27,1959-02-01,
112,2018-07-27,1959-03-01,
113,2018-07-27,1959-04-01,
114,1998-07-31,1959-05-01,95.3
115,2003-12-23,1959-05-01,
116,2018-07-27,1959-05-01,95.3
117,2018-07-27,1959-06-01,
118,2018-07-27,1959-07-01,
119,2018-07-27,1959-08-01,
120,2018-07-27,1959-09-01,
121,2018-07-27,1959-10-01,
122,1998-07-31,1959-11-01,93.8
123,2003-12-23,1959-11-01,
124,2018-07-27,1959-11-01,93.8
125,2018-07-27,1959-12-01,
126,2018-07-27,1960-01-01,
127,1998-07-31,1960-02-01,100.0
128,2003-12-23,1960-02-01,
129,2018-07-27,1960-02-01,100.0
130,2018-07-27,1960-03-01,
131,2018-07-27,1960-04-01,
132,1998-07-31,1960-05-01,93.3
133,2003-12-23,1960-05-01,
134,2018-07-27,1960-05-01,93.3
135,2018-07-27,1960-06-01,
136,2018-07-27,1960-07-01,
137,1998-07-31,1960-08-01,97.2
138,2003-12-23,1960-08-01,
139,2018-07-27,1960-08-01,97.2
140,2018-07-27,1960-09-01,
141,2018-07-27,1960-10-01,
142,1998-07-31,1960-11-01,90.1
143,2003-12-23,1960-11-01,
144,2018-07-27,1960-11-01,90.1
145,2018-07-27,1960-12-01,
146,2018-07-27,1961-01-01,
147,1998-07-31,1961-02-01,91.6
148,2003-12-23,1961-02-01,
149,2018-07-27,1961-02-01,91.6
150,2018-07-27,1961-03-01,
151,2018-07-27,1961-04-01,
152,1998-07-31,1961-05-01,92.5
153,2003-12-23,1961-05-01,
154,2018-07-27,1961-05-01,92.5
155,2018-07-27,1961-06-01,
156,2018-07-27,1961-07-01,
157,1998-07-31,1961-08-01,99.2
158,2003-12-23,1961-08-01,
159,2018-07-27,1961-08-01,99.2
160,2018-07-27,1961-09-01,
161,2018-07-27,1961-10-01,
162,1998-07-31,1961-11-01,93.0
163,2003-12-23,1961-11-01,
164,2018-07-27,1961-11-01,93.0
165,2018-07-27,1961-12-01,
166,2018-07-27,1962-01-01,
167,1998-07-31,1962-02-01,99.9
168,2003-12-23,1962-02-01,
169,2018-07-27,1962-02-01,99.9
170,2018-07-27,1962-03-01,
171,2018-07-27,1962-04-01,
172,1998-07-31,1962-05-01,95.4
173,2003-12-23,1962-05-01,
174,2018-07-27,1962-05-01,95.4
175,2018-07-27,1962-06-01,
176,2018-07-27,1962-07-01,
177,1998-07-31,1962-08-01,91.6
178,2003-12-23,1962-08-01,
179,2018-07-27,1962-08-01,91.6
180,2018-07-27,1962-09-01,
181,2018-07-27,1962-10-01,
182,1998-07-31,1962-11-01,95.0
183,2003-12-23,1962-11-01,
184,2018-07-27,1962-11-01,95.0
185,2018-07-27,1962-12-01,
186,2018-07-27,1963-01-01,
187,1998-07-31,1963-02-01,98.4
188,2003-12-23,1963-02-01,
189,2018-07-27,1963-02-01,98.4
190,2018-07-27,1963-03-01,
191,2018-07-27,1963-04-01,
192,1998-07-31,1963-05-01,91.7
193,2003-12-23,1963-05-01,
194,2018-07-27,1963-05-01,91.7
195,2018-07-27,1963-06-01,
196,2018-07-27,1963-07-01,
197,1998-07-31,1963-08-01,96.4
198,2003-12-23,1963-08-01,
199,2018-07-27,1963-08-01,96.4
200,2018-07-27,1963-09-01,
201,2018-07-27,1963-10-01,
202,1998-07-31,1963-11-01,94.4
203,2003-12-23,1963-11-01,
204,2018-07-27,1963-11-01,94.4
205,2018-07-27,1963-12-01,
206,2018-07-27,1964-01-01,
207,1998-07-31,1964-02-01,99.5
208,2003-12-23,1964-02-01,
209,2018-07-27,1964-02-01,99.5
210,2018-07-27,1964-03-01,
211,2018-07-27,1964-04-01,
212,1998-07-31,1964-05-01,98.5
213,2003-12-23,1964-05-01,
214,2018-07-27,1964-05-01,98.5
215,2018-07-27,1964-06-01,
216,2018-07-27,1964-07-01,
217,1998-07-31,1964-08-01,100.6
218,2003-12-23,1964-08-01,
219,2018-07-27,1964-08-01,100.6
